loan_id,users_id,library_id,book_id,loan_date,due_date,return_date,status_loan_id
62,64,75, B - 011,2025-04-03,2025-04-17,2025-04-14,2
63,92,32, B - 029,2025-02-13,2025-02-27,2025-02-16,2
64,72,96, B - 039,2025-01-31,2025-02-14,2025-02-07,2
65,81,1, B - 100,2025-04-02,2025-04-16,2025-04-09,2
66,32,69, B - 003,2025-03-14,2025-03-28,2025-03-28,2
67,83,66, B - 027,2025-03-07,2025-03-21,2025-03-09,2
68,27,18, B - 035,2025-01-24,2025-02-07,2025-01-31,2
69,50,20, B - 032,2025-04-23,2025-05-07,2025-04-27,2
70,64,4, B - 086,2025-03-07,2025-03-21,2025-03-18,2
71,37,17, B - 009,2025-03-20,2025-04-03,2025-04-01,2
72,30,87, B - 031,2025-04-25,2025-05-09,,1
73,25,58, B - 053,2025-04-15,2025-04-29,2025-04-29,2
74,39,59, B - 028,2025-04-27,2025-05-11,2025-05-05,2
75,69,39, B - 060,2025-04-07,2025-04-21,2025-04-14,2
76,51,100, B - 070,2025-02-09,2025-02-23,2025-02-17,2
77,33,96, B - 088,2025-02-18,2025-03-04,2025-02-19,2
78,19,99, B - 030,2025-04-01,2025-04-15,2025-04-15,2
79,25,8, B - 024,2025-02-06,2025-02-20,2025-02-11,2
80,25,41, B - 063,2025-02-23,2025-03-09,2025-03-09,2
81,4,23, B - 012,2025-03-09,2025-03-23,2025-03-17,2
82,95,66, B - 080,2025-02-26,2025-03-12,2025-03-12,2
83,100,91, B - 061,2025-04-23,2025-05-07,2025-05-04,2
84,97,49, B - 013,2025-03-16,2025-03-30,2025-03-30,2
85,56,46, B - 076,2025-02-06,2025-02-20,2025-02-14,2
86,37,5, B - 056,2025-03-28,2025-04-11,2025-04-11,2
87,81,39, B - 091,2025-04-03,2025-04-17,2025-04-09,2
88,13,86, B - 054,2025-03-27,2025-04-10,2025-03-28,2
89,53,64, B - 080,2025-05-07,2025-05-21,2025-05-10,2
90,27,94, B - 045,2025-04-04,2025-04-18,2025-04-14,2
91,94,27, B - 007,2025-01-14,2025-01-28,2025-01-15,2
92,77,24, B - 037,2025-01-13,2025-01-27,2025-01-22,2
93,73,13, B - 037,2025-04-30,2025-05-14,2025-05-09,2
94,98,7, B - 023,2025-02-03,2025-02-17,2025-02-17,2
95,92,93, B - 085,2025-03-18,2025-04-01,2025-04-01,2
96,20,56, B - 052,2025-04-15,2025-04-29,2025-04-28,2
97,43,45, B - 002,2025-01-04,2025-01-18,2025-01-18,2
98,78,75, B - 061,2025-02-07,2025-02-21,2025-02-21,2
99,33,26, B - 011,2025-04-23,2025-05-07,2025-05-07,2
100,86,89, B - 071,2025-04-08,2025-04-22,2025-04-15,2
